,list_u,list_v,list_W,time_with_SVD,time_wthout_SVD,list_err_inf,rank
0,"[[57.95555787]
 [70.87499144]
 [87.67912989]
 ...
 [24.59232813]
 [26.54410938]
 [27.59919111]]","[[0.05066941]
 [0.05045374]
 [0.05273652]
 ...
 [9.59343443]
 [3.34524646]
 [1.37572995]]",537987506.9938161,6.4881415367126465,0.1996161937713623,3927.6236950109355,25
1,"[[59.8952423 ]
 [73.20642131]
 [90.86492228]
 ...
 [25.83989609]
 [27.96749679]
 [29.11630438]]","[[0.05036767]
 [0.05015748]
 [0.05239984]
 ...
 [9.644284  ]
 [3.35151646]
 [1.37596078]]",564266103.8711568,7.00567364692688,0.24327874183654785,1989.5334160250707,35
2,"[[59.43912681]
 [72.93089577]
 [90.69383638]
 ...
 [25.72251011]
 [27.83570955]
 [28.97736738]]","[[0.05034481]
 [0.05013497]
 [0.05237468]
 ...
 [9.64459162]
 [3.35207992]
 [1.37617378]]",563534065.753324,7.8068883419036865,0.34162425994873047,1562.9564794111147,45
3,"[[59.5153285 ]
 [72.96029033]
 [90.70244082]
 ...
 [25.7428469 ]
 [27.84682398]
 [28.98322668]]","[[0.05035056]
 [0.05014047]
 [0.05238181]
 ...
 [9.64584261]
 [3.35195551]
 [1.3760892 ]]",564506910.6290563,8.203086853027344,0.3830680847167969,463.67565350112153,55
4,"[[59.46886724]
 [72.89726556]
 [90.65664173]
 ...
 [25.72928811]
 [27.83587548]
 [28.97369437]]","[[0.05035285]
 [0.05014274]
 [0.05238426]
 ...
 [9.64477294]
 [3.35186678]
 [1.37610605]]",564141823.3995044,9.228181600570679,0.46425342559814453,188.9526824643704,65
5,"[[59.45557588]
 [72.88712125]
 [90.67161583]
 ...
 [25.74135113]
 [27.85085462]
 [28.99031504]]","[[0.0503526 ]
 [0.05014249]
 [0.05238395]
 ...
 [9.64485506]
 [3.35187085]
 [1.376103  ]]",564187338.9577553,9.808094024658203,0.5242557525634766,89.1249552259321,75
6,"[[59.45531407]
 [72.88943824]
 [90.67409044]
 ...
 [25.74382803]
 [27.85328477]
 [28.99269318]]","[[0.05035267]
 [0.05014256]
 [0.05238403]
 ...
 [9.64487869]
 [3.35187049]
 [1.37610257]]",564184341.6821845,11.323596954345703,0.6079363822937012,49.056671787153945,85
7,"[[59.46091107]
 [72.89811355]
 [90.67718448]
 ...
 [25.74406209]
 [27.85338349]
 [28.99268935]]","[[0.05035265]
 [0.05014255]
 [0.05238401]
 ...
 [9.64487019]
 [3.35187248]
 [1.37610312]]",564183821.6517587,11.567751169204712,0.666313886642456,33.37527688215755,95
8,"[[59.46282923]
 [72.90093272]
 [90.68103839]
 ...
 [25.74400026]
 [27.8534424 ]
 [28.9928019 ]]","[[0.05035263]
 [0.05014253]
 [0.05238399]
 ...
 [9.64487108]
 [3.35187243]
 [1.37610315]]",564184717.8853242,12.80281400680542,0.7247912883758545,16.7582446633602,105
9,"[[59.46328381]
 [72.90152167]
 [90.68163108]
 ...
 [25.7437124 ]
 [27.85310722]
 [28.99244539]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.6448691 ]
 [3.35187185]
 [1.37610302]]",564184907.7706064,13.396418333053589,0.7602417469024658,12.546550867292332,115
10,"[[59.46378541]
 [72.90094505]
 [90.68087244]
 ...
 [25.74341069]
 [27.85274091]
 [28.9920481 ]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486928]
 [3.35187208]
 [1.37610307]]",564184947.7540729,14.002834796905518,0.8028380870819092,5.961183303670113,125
